127.0.0.1 - - [03/Oct/2018:14:04:33 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnVoltar.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnInicioPress.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/andarEsquerda.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/andarDireita.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/pular.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase3Press.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase4.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase4Press.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenTBOG.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenFase2.png HTTP/1.1" 404 1091
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenTBOG.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenTBOGpreta.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenTBOG.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenTBOGpreta.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/screenTBOGpreta.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/musics/scenesMusics/menuMusic.mp3 HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/mobs/heroi.png HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/alavanca.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/chave.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/bandeira_branca.png HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/bandeira_verde.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/moeda.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/huds/hud_score_vida.png HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/huds/hud_tempo.png HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/huds/coracao_cheio.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/huds/coracao_vazio.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/background/fase_1_sky.png HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/background/fase_1_montanhas.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/ponte.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/tilesets/fase_1_tileset.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/sounds/espada.mp3 HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/sounds/death.mp3 HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/sounds/hit.mp3 HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/sounds/pegar.mp3 HTTP/1.1" 404 1067
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/sounds/jump.mp3 HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/sounds/victory.mp3 HTTP/1.1" 404 1071
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/tilemap/map_casa.json HTTP/1.1" 404 1077
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/tilesets/fase_casa.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/itensDeCenario.png HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/pocao.png HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/mobs/aldeao.png HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/inimigo_die.png HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/background/fase_3_background.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/tilesets/fase_3_tileset.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/tilesets/fase_4_tileset.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/huds/msg.png HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/itensCenario/inimigo_die.png HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/tilemap/mainMenuMap.json HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:04 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/logo.png HTTP/1.1" 404 1065
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:10:06 -0300] "GET /the_Battle_for_Gondria/system/user/index.html?jogo HTTP/1.1" 200 3845
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:10:06 -0300] "GET /the_Battle_for_Gondria/layout/css/master.css HTTP/1.1" 200 3185
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:10:06 -0300] "GET /the_Battle_for_Gondria/layout/css/user.css HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:10:06 -0300] "GET /the_Battle_for_Gondria/addons/js/user.js HTTP/1.1" 200 9551
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:10:06 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/main.js HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:10:06 -0300] "GET /the_Battle_for_Gondria/layout/imagens/logo.png HTTP/1.1" 200 528078
