0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:30 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:35 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:40 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:44 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:44 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:53 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:55 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:58 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:00 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:02 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:02 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:03 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 122
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:08 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:10 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:18:13 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 60
